SMILES,LC50,Structure
CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,9.4e-05,<rdkit.Chem.rdchem.Mol object at 0x1783dc740>
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,0.049944999999999996,<rdkit.Chem.rdchem.Mol object at 0x1783dc6d0>
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0.028305,<rdkit.Chem.rdchem.Mol object at 0x1783dc660>
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2,3.7305,<rdkit.Chem.rdchem.Mol object at 0x1783dc5f0>
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,235.29071499999998,<rdkit.Chem.rdchem.Mol object at 0x1783dc580>
CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2,1.1480000000000001,<rdkit.Chem.rdchem.Mol object at 0x1783dc510>
CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,0.036800000000000006,<rdkit.Chem.rdchem.Mol object at 0x1783dc4a0>
CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0.0005214999999999999,<rdkit.Chem.rdchem.Mol object at 0x1783dc430>
CCCCO[P](=O)(OCCCC)OCCCC,2.41,<rdkit.Chem.rdchem.Mol object at 0x1783dc3c0>
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,10.455,<rdkit.Chem.rdchem.Mol object at 0x1783dc350>
CN(C)[P](=O)(N(C)C)N(C)C,6670.0,<rdkit.Chem.rdchem.Mol object at 0x1783dc2e0>
CCO[P](O)(=S)OCC,100.0,<rdkit.Chem.rdchem.Mol object at 0x1783dc9e0>
CCO[P](=S)(OCC)O[P](=S)(OCC)OCC,0.00023,<rdkit.Chem.rdchem.Mol object at 0x1783dc970>
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,5.8,<rdkit.Chem.rdchem.Mol object at 0x1783dc900>
N/C(N\N=C\c1ccc(Cl)cc1)=N\N=C\c2ccc(Cl)cc2,0.075,<rdkit.Chem.rdchem.Mol object at 0x1783dc890>
CCCC(O)=O,61.0,<rdkit.Chem.rdchem.Mol object at 0x1783dc820>
CCC(O)=O,50.0,<rdkit.Chem.rdchem.Mol object at 0x1783df920>
CCCCC(O)=O,45.0,<rdkit.Chem.rdchem.Mol object at 0x1783df990>
[Na].O[S](=O)(=O)c1ccc(Br)cc1,1943.0,<rdkit.Chem.rdchem.Mol object at 0x1783dfa00>
Br[Hg]c1ccccc1,0.97,<rdkit.Chem.rdchem.Mol object at 0x1783dfa70>
COc1ccc(NC(=O)N(C)C)cc1Cl,160.0,<rdkit.Chem.rdchem.Mol object at 0x1783dfae0>
COC(=O)C(Cl)Cc1ccc(Cl)cc1,0.0091,<rdkit.Chem.rdchem.Mol object at 0x1783dfbc0>
CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl,5.5,<rdkit.Chem.rdchem.Mol object at 0x1783dfc30>
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,5.5,<rdkit.Chem.rdchem.Mol object at 0x1783dfca0>
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,1.0,<rdkit.Chem.rdchem.Mol object at 0x1783dfd10>
O(c1ccccc1)c2ccccc2,0.67,<rdkit.Chem.rdchem.Mol object at 0x1783dfd80>
Cl\C=C\Cl,220.0,<rdkit.Chem.rdchem.Mol object at 0x1783dfdf0>
CC(C)c1ccc(C)cc1,6.5,<rdkit.Chem.rdchem.Mol object at 0x1783dfe60>
CC1(C)C2CCC(C2)C1=C,22.0,<rdkit.Chem.rdchem.Mol object at 0x1783dfed0>
Oc1ccccc1c2ccccc2,0.71,<rdkit.Chem.rdchem.Mol object at 0x1783dc270>
[nH]1ccc2ccccc12,1.0,<rdkit.Chem.rdchem.Mol object at 0x1783dd770>
O=C1Oc2ccccc2C=C1,13.5,<rdkit.Chem.rdchem.Mol object at 0x17853c040>
O=C1NC(=S)NC=C1,7.7,<rdkit.Chem.rdchem.Mol object at 0x17853c0b0>
S=C(Nc1ccccc1)Nc2ccccc2,67.0,<rdkit.Chem.rdchem.Mol object at 0x17853c120>
S=C=Nc1ccc(cc1)N=C=S,0.077,<rdkit.Chem.rdchem.Mol object at 0x17853c200>
